Prefecture,Category,Item,Value,Date,Primary_source,Secondary_source
Miyagi,Population,Male,1136,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Akita,Population,Male,468,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamagata,Population,Male,531,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukushima,Population,Male,932,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ibaraki,Population,Male,1442,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tochigi,Population,Male,974,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Gunma,Population,Male,968,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Saitama,Population,Male,3648,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Chiba,Population,Male,3103,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tokyo,Population,Male,6760,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kanagawa,Population,Male,4569,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Niigata,Population,Male,1098,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Toyama,Population,Male,511,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ishikawa,Population,Male,556,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukui,Population,Male,378,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamanashi,Population,Male,403,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nagano,Population,Male,1012,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Gifu,Population,Male,973,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shizuoka,Population,Male,1810,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Aichi,Population,Male,3764,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Mie,Population,Male,877,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shiga,Population,Male,697,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kyoto,Population,Male,1242,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Osaka,Population,Male,4241,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hyogo,Population,Male,2624,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nara,Population,Male,635,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Wakayama,Population,Male,444,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tottori,Population,Male,270,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Shimane,Population,Male,330,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Okayama,Population,Male,916,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hiroshima,Population,Male,1372,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamaguchi,Population,Male,655,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tokushima,Population,Male,354,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kagawa,Population,Male,469,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ehime,Population,Male,645,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kochi,Population,Male,336,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukuoka,Population,Male,2415,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Saga,Population,Male,389,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Nagasaki,Population,Male,636,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kumamoto,Population,Male,833,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Oita,Population,Male,546,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Miyazaki,Population,Male,512,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kagoshima,Population,Male,763,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Okinawa,Population,Male,709,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Hokkaido,Population,Female,2814,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Aomori,Population,Female,678,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Iwate,Population,Female,651,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Miyagi,Population,Female,1188,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Akita,Population,Female,528,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Yamagata,Population,Female,571,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Fukushima,Population,Female,951,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Ibaraki,Population,Female,1450,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tochigi,Population,Female,983,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Gunma,Population,Female,992,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Saitama,Population,Female,3662,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Chiba,Population,Female,3143,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Tokyo,Population,Female,6964,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Kanagawa,Population,Female,4590,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
Niigata,Population,Female,1169,2017-10-01,https://www.mhlw.go.jp/toukei/youran/indexyk_1_1.html,
